trial,service,fault_type,detected,mttd_s,healed,mttr_s,timestamp
11,responder_service,mixed,True,9.05,True,0.02,2026-04-09T21:08:49.136545+00:00
11,responder_service,slow_degradation,True,9.27,True,0.01,2026-04-09T21:09:02.538452+00:00
11,responder_service,memory_pressure,True,9.26,True,0.01,2026-04-09T21:09:17.113168+00:00
12,weather_service,high_latency,True,7.61,True,0.03,2026-04-09T21:12:22.715798+00:00
12,weather_service,service_error,True,17.11,True,0.32,2026-04-09T21:12:43.968551+00:00
12,weather_service,error_burst,True,36.94,True,5.63,2026-04-09T21:13:34.547973+00:00
12,weather_service,mixed,True,49.81,True,2.0,2026-04-09T21:14:34.354951+00:00
12,weather_service,slow_degradation,True,9.89,True,5.6,2026-04-09T21:14:57.846759+00:00
12,weather_service,memory_pressure,True,7.79,True,11.44,2026-04-09T21:15:25.074204+00:00
12,nlu_service,high_latency,False,,False,,2026-04-09T21:17:40.269145+00:00
12,nlu_service,service_error,True,9.42,True,0.01,2026-04-09T21:17:50.691549+00:00
12,nlu_service,error_burst,True,115.91,True,-1.78,2026-04-09T21:19:52.826773+00:00
12,nlu_service,mixed,True,8.84,True,-0.37,2026-04-09T21:20:09.298422+00:00
12,nlu_service,slow_degradation,True,9.96,True,0.01,2026-04-09T21:20:22.262353+00:00
12,nlu_service,memory_pressure,True,9.6,True,0.01,2026-04-09T21:20:36.018301+00:00
12,responder_service,high_latency,True,11.02,True,0.02,2026-04-09T21:20:50.617461+00:00
12,responder_service,service_error,False,,False,,2026-04-09T21:23:08.082124+00:00
12,responder_service,error_burst,True,8.88,True,0.04,2026-04-09T21:23:18.561260+00:00
12,responder_service,mixed,True,10.35,True,0.01,2026-04-09T21:23:31.824450+00:00
12,responder_service,slow_degradation,True,9.66,True,0.01,2026-04-09T21:23:45.383409+00:00
12,responder_service,memory_pressure,True,9.54,True,0.01,2026-04-09T21:24:00.109338+00:00
